('Jerel McNeal', '/players/m/mcneaje01.html')
('Sasha Kaun', '/players/k/kaunsa01.html')
('Armen Gilliam', '/players/g/gilliar01.html')
('Kevin Huerter', '/players/h/huertke01.html')
('Josh Hart', '/players/h/hartjo01.html')
('Erick Barkley', '/players/b/barkler01.html')
('Fab Melo', '/players/m/melofa01.html')
('Alan Williams', '/players/w/willial03.html')
('Matt Williams', '/players/w/willima05.html')
('Chris Copeland', '/players/c/copelch01.html')
('Haywood Highsmith', '/players/h/highsha01.html')
('Grayson Allen', '/players/a/allengr01.html')
('Derrick Williams', '/players/w/willide02.html')
('Jelani McCoy', '/players/m/mccoyje01.html')
('Keith Langford', '/players/l/langfke01.html')
('Jason Maxiell', '/players/m/maxieja01.html')
('Jérôme Moïso', '/players/m/moisoje01.html')
('Tom Hammonds', '/players/h/hammoto01.html')
('Al-Farouq Aminu', '/players/a/aminual01.html')
('Morris Almond', '/players/a/almonmo01.html')
('Nikola Peković', '/players/p/pekovni01.html')
('Travis Diener', '/players/d/dienetr01.html')
('Dahntay Jones', '/players/j/jonesda02.html')
('Mustafa Shakur', '/players/s/shakumu01.html')
('Marcus Morris', '/players/m/morrima03.html')
('Antonio Lang', '/players/l/langan02.html')
('Isaac Bonga', '/players/b/bongais01.html')
("Boniface N'Dong", '/players/n/ndongbo01.html')
('Dante Exum', '/players/e/exumda01.html')
('Joe Johnson', '/players/j/johnsjo02.html')
('Fabricio Oberto', '/players/o/obertfa01.html')
('DeAndre Liggins', '/players/l/liggide01.html')
('Marko Jarić', '/players/j/jaricma01.html')
('Bracey Wright', '/players/w/wrighbr02.html')
('Carl Landry', '/players/l/landrca01.html')
('Tim Frazier', '/players/f/fraziti01.html')
('Mark Davis', '/players/d/davisma02.html')
('Derrick Rose', '/players/r/rosede01.html')
('Isaiah Whitehead', '/players/w/whiteis01.html')
('Thomas Robinson', '/players/r/robinth01.html')
('Tim Hardaway', '/players/h/hardati01.html')
('Juaquin Hawkins', '/players/h/hawkiju01.html')
('Grant Jerrett', '/players/j/jerregr01.html')
('Lazaro Borrell', '/players/b/borrela01.html')
('Tibor Pleiß', '/players/p/pleisti01.html')
('Wesley Johnson', '/players/j/johnswe01.html')
('Troy Brown', '/players/b/browntr01.html')
('Horace Jenkins', '/players/j/jenkiho01.html')
('Giannis Antetokounmpo', '/players/a/antetgi01.html')
('Kurt Thomas', '/players/t/thomaku01.html')
('Devin Ebanks', '/players/e/ebankde01.html')
('Chris Smith', '/players/s/smithch05.html')
('T.J. McConnell', '/players/m/mccontj01.html')
('Jumaine Jones', '/players/j/jonesju01.html')
('Hanno Möttölä', '/players/m/mottoha01.html')
('Brandon Hunter', '/players/h/huntebr01.html')
('Joe Harris', '/players/h/harrijo01.html')
('George Hill', '/players/h/hillge01.html')
('Ognjen Kuzmić', '/players/k/kuzmiog01.html')
('Tony Mitchell', '/players/m/mitchto03.html')
('Marcus Paige', '/players/p/paigema01.html')
('Jonathan Bender', '/players/b/bendejo01.html')
('Nick Van Exel', '/players/v/vanexni01.html')
('Adam Keefe', '/players/k/keefead01.html')
('Adonal Foyle', '/players/f/foylead01.html')
('Obinna Ekezie', '/players/e/ekeziob01.html')
('Trey Lyles', '/players/l/lylestr01.html')
('Hamidou Diallo', '/players/d/diallha01.html')
('Bernard James', '/players/j/jamesbe01.html')
('Blake Griffin', '/players/g/griffbl01.html')
('Todd MacCulloch', '/players/m/maccuto01.html')
('Edmond Sumner', '/players/s/sumneed01.html')
('Howard Eisley', '/players/e/eisleho01.html')
('Nemanja Bjelica', '/players/b/bjeline01.html')
('Joe Ingles', '/players/i/inglejo01.html')
('Maciej Lampe', '/players/l/lampema01.html')
